,host_id,host_response_rate,host_acceptance_rate,host_listings_count,host_total_listings_count,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,last_scraped,source,name,description,host_name,host_since,host_location,host_response_time,host_is_superhost,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,property_type,room_type,bathrooms_text,amenities,has_availability,calendar_last_scraped,first_review,last_review,instant_bookable
0,185647,100.0,80.0,1.0,1.0,46.20198,6.15672,1.0,1.0,1.0,1.0,89.0,3.0,1125,3.0,3.0,1125,1125,3.0,1125.0,28,58,363,10.6,7.0,2.0,4.73,4.73,4.78,4.85,4.84,4.85,4.54,1.0,1.2,1.0,0.0,0.5,2024-06-29,city scrape,Geneva center - Hosting females,"Spacious studio with washer/dryer, Wi-fi, supermarket and gym in the same building, cleaner + ironing, cable HDTV, everything you need! Great public transport to UN, IO's, bus stop on your doorstep and the lake just a stone's throw away.",Noelle,2010-07-30,"Geneva, Switzerland",within a few hours,f,"['email', 'phone']",t,t,Commune de Genève,Private room in rental unit,Private room,1.5 shared baths,"[""TV with standard cable"", ""Dryer"", ""Cooking basics"", ""Hangers"", ""Refrigerator"", ""Shared hot tub"", ""Stove"", ""Paid washer \u2013 In building"", ""Essentials"", ""Iron"", ""Elevator"", ""Wifi"", ""Hot water"", ""Bathtub"", ""Heating"", ""Hair dryer"", ""Kitchen"", ""Dishes and silverware"", ""Oven"", ""Host greets you""]",t,2024-06-29,2011-09-24,2024-06-14,f
1,1001280,100.0,100.0,6.0,12.0,46.19964,6.1558,2.0,1.0,1.0,1.4,165.0,5.0,730,5.0,5.0,1125,1125,5.0,1125.0,1,1,17,10.6,8.0,1.0,4.91,4.98,4.89,4.97,4.99,4.95,4.8,2.0,2.0,0.0,0.0,0.62,2024-06-29,city scrape,Top location studio 1 block from lake!,"Spacious studio with washer/dryer, Wi-fi, supermarket and gym in the same building, cleaner + ironing, cable HDTV, everything you need! Great public transport to UN, IO's, bus stop on your doorstep and the lake just a stone's throw away.",Mike,2011-08-21,"Geneva, Switzerland",within an hour,t,"['email', 'phone']",t,t,Commune de Genève,Entire rental unit,Entire home/apt,1 bath,"[""TV with standard cable"", ""Hangers"", ""Microwave"", ""Smoke alarm"", ""Hair dryer"", ""Coffee maker"", ""Dishes and silverware"", ""Free washer \u2013 In unit"", ""Lake access"", ""Refrigerator"", ""Shampoo"", ""Elevator"", ""Fire extinguisher"", ""Private entrance"", ""Host greets you"", ""Essentials"", ""Hot water"", ""Free dryer \u2013 In unit"", ""Kitchen"", ""Luggage dropoff allowed"", ""Iron"", ""Wifi"", ""Heating""]",t,2024-06-29,2012-11-11,2024-05-31,t
2,1442438,100.0,100.0,2.0,2.0,46.2,6.16833,3.0,1.0,1.0,1.4,78.0,7.0,360,4.0,7.0,1125,1125,7.0,1125.0,0,16,298,10.6,4.0,0.0,4.63,4.69,4.74,4.88,4.89,4.77,4.7,1.0,1.0,0.0,0.0,0.8,2024-06-29,city scrape,Lovely flat by Geneva lake,"This cozy flat is located in a very pleasant village, nearby Geneva lake, and near all facilities, such as groceries, trains, bus stops, banks, etc. It's perfect for a family with 2-3 children. Geneva center is at only 10 minutes by car/by train.",Gaby,2011-11-25,"Geneva, Switzerland",within an hour,f,"['email', 'phone']",t,t,Versoix,Entire rental unit,Entire home/apt,1 bath,"[""Free dryer \u2013 In building"", ""Hangers"", ""Baking sheet"", ""Free washer \u2013 In building"", ""TV"", ""Portable fans"", ""BBQ grill"", ""Dedicated workspace"", ""Microwave"", ""Smoke alarm"", ""Hair dryer"", ""Fire pit"", ""Baby safety gates"", ""Coffee maker"", ""Drying rack for clothing"", ""Fireplace guards"", ""Dishes and silverware"", ""Freezer"", ""Long term stays allowed"", ""Lake access"", ""Cooking basics"", ""Clothing storage: closet and dresser"", ""Refrigerator"", ""Cleaning products"", ""Shared beach access"", ""Outdoor furniture"", ""Children\u2019s dinnerware"", ""Dishwasher"", ""Children\u2019s books and toys"", ""Pack \u2019n play/Travel crib"", ""Dining table"", ""Fire extinguisher"", ""Essentials"", ""Extra pillows and blankets"", ""Body soap"", ""Bed linens"", ""Hot water"", ""Hot water kettle"", ""Free street parking"", ""Kitchen"", ""Luggage dropoff allowed"", ""Crib"", ""High chair"", ""Baby bath"", ""Outdoor dining area"", ""Stove"", ""Paid parking off premises"", ""Indoor fireplace"", ""Iron"", ""Toaster"", ""Wifi"", ""Heating"", ""Books and reading material"", ""Oven""]",t,2024-06-29,2012-03-15,2024-05-26,f
3,1001280,100.0,100.0,6.0,12.0,46.20708,6.15545,2.0,1.0,1.0,1.4,122.2,5.0,365,5.0,5.0,1125,1125,5.0,1125.0,2,4,5,10.6,2.0,0.0,4.81,4.85,4.77,4.9,4.9,4.87,4.69,2.0,2.0,0.0,0.0,0.78,2024-06-29,previous scrape,Top location 1 block from the lake!,"One bedroom apartment located in a pedestrian street one block from the lake. Bus stop around the corner, wi-fi, cleaning lady, washer/dryer and dishwasher... Perfect place to hit the ground running. Your home from home in Geneva. Welcome to Switz!",Mike,2011-08-21,"Geneva, Switzerland",within an hour,t,"['email', 'phone']",t,t,Commune de Genève,Entire rental unit,Entire home/apt,1.5 baths,"[""40 inch HDTV with standard cable"", ""Dedicated workspace"", ""Microwave"", ""Smoke alarm"", ""Hair dryer"", ""Coffee maker"", ""Dishes and silverware"", ""Free washer \u2013 In unit"", ""Cooking basics"", ""Refrigerator"", ""Shampoo"", ""Dishwasher"", ""Elevator"", ""Fire extinguisher"", ""Electric stove"", ""Self check-in"", ""Essentials"", ""Hot water"", ""Free dryer \u2013 In unit"", ""Kitchen"", ""Paid parking off premises"", ""Iron"", ""Wifi"", ""Courtyard view"", ""Heating"", ""Lockbox"", ""Oven""]",t,2024-06-29,2012-03-02,2024-04-16,t
4,1994454,90.0,71.0,2.0,3.0,46.18904,6.13908,2.0,1.0,1.0,1.0,54.0,2.0,1125,2.0,2.0,1125,1125,2.0,1125.0,0,27,90,53.0,5.0,0.0,4.84,4.79,4.87,4.94,4.89,4.7,4.7,2.0,1.2,2.0,0.0,0.36,2024-06-29,city scrape,Nice modern bedroom with balcony,"Nice modern bedroom with confortable king size bed for one or two persons with direct access to a balcony facing a nice and calm green park. Enjoy the kitchen, the view and its proximity to beautifull old town Carouge and major tram and bus lines. ",Oscar,2012-03-23,"Geneva, Switzerland",within an hour,f,"['email', 'phone', 'work_email']",t,t,Commune de Genève,Private room in rental unit,Private room,1 shared bath,"[""Mountain view"", ""Hangers"", ""Single level home"", ""Window guards"", ""Outdoor playground"", ""Dedicated workspace"", ""Microwave"", ""Hair dryer"", ""Coffee maker"", ""Long term stays allowed"", ""Drying rack for clothing"", ""Dishes and silverware"", ""Smoking allowed"", ""Sun loungers"", ""Blender"", ""Cooking basics"", ""Refrigerator"", ""Cleaning products"", ""Paid parking on premises"", ""Outdoor furniture"", ""Shampoo"", ""Elevator"", ""Lock on bedroom door"", ""Dining table"", ""Host greets you"", ""Coffee"", ""Ethernet connection"", ""Essentials"", ""Extra pillows and blankets"", ""Pets allowed"", ""Bed linens"", ""Hot water"", ""Hot water kettle"", ""Free street parking"", ""Kitchen"", ""Room-darkening shades"", ""Luggage dropoff allowed"", ""Dryer"", ""Shower gel"", ""Clothing storage: wardrobe"", ""Outdoor dining area"", ""Stove"", ""Paid parking off premises"", ""Iron"", ""Patio or balcony"", ""Wifi"", ""Washer"", ""Wine glasses"", ""Bathtub"", ""Heating""]",t,2024-06-29,2012-07-15,2024-05-16,f
5,2086993,100.0,98.0,2.0,2.0,46.1995,6.17308,2.0,1.0,1.0,1.0,90.0,2.0,14,2.0,2.0,1125,1125,2.0,1125.0,15,45,75,10.6,17.0,1.0,4.94,4.98,5.0,4.99,4.99,4.86,4.91,2.0,1.0,1.0,0.0,0.6,2024-06-29,city scrape,Beautiful Apm't in central Geneva (NB Guest Room),"Fabulous apartment with design interior in charming Geneva building with high ceilings and hardwood floors .<br />Left bank (Rive gauche) a 10 minute walk to the lake and jet d'eau, city center, shopping etc.<br />Surface area 190m2 with 7 rooms & 2 bathrooms (1st floor with elevator)<br /><br />Big Entrance<br />Dining Room<br />Living Room (with big sofa)<br />Play Room<br />Master Bedroom<br />Office<br />Guest Bedroom (double bed for GUEST)",Mark,2012-04-07,"Geneva, Switzerland",within an hour,f,"['email', 'phone', 'work_email']",t,t,Commune de Genève,Private room in rental unit,Private room,1.5 baths,"[""Hangers"", ""Garden view"", ""Dedicated workspace"", ""Microwave"", ""Hair dryer"", ""Coffee maker"", ""Dishes and silverware"", ""Free washer \u2013 In unit"", ""Lake access"", ""Cooking basics"", ""Refrigerator"", ""Shampoo"", ""Dishwasher"", ""Elevator"", ""Fast wifi \u2013 92 Mbps"", ""Lock on bedroom door"", ""Board games"", ""Private entrance"", ""Essentials"", ""Hot water"", ""Free dryer \u2013 In unit"", ""Free street parking"", ""Kitchen"", ""Indoor fireplace: wood-burning"", ""Luggage dropoff allowed"", ""Iron"", ""Heating"", ""72 inch HDTV with Amazon Prime Video"", ""Electrolux induction stove"", ""Oven"", ""Shared patio or balcony""]",t,2024-06-29,2013-05-25,2024-06-17,t
6,3110118,100.0,69.0,2.0,6.0,46.2114,6.15107,1.0,1.0,1.0,2.0,124.0,2.8,700,3.0,2.9,700,700,2.8,700.0,6,24,28,46.0,9.0,0.3,4.98,4.96,5.0,5.0,4.98,4.85,4.74,1.0,1.0,0.0,0.0,0.32,2024-06-29,city scrape,Design apartment 2 blocks from lake,"Very well located, all commodities at walking distance. Fully refurbished with taste and always very clean.",Enrica,2012-07-31,"Geneva, Switzerland",within an hour,t,"['email', 'phone']",t,t,Commune de Genève,Entire rental unit,Entire home/apt,1 bath,"[""TV with standard cable"", ""Hangers"", ""Microwave"", ""Smoke alarm"", ""Hair dryer"", ""Coffee maker"", ""Long term stays allowed"", ""Dishes and silverware"", ""Lake access"", ""Cooking basics"", ""Refrigerator"", ""Shampoo"", ""Dishwasher"", ""Elevator"", ""Fire extinguisher"", ""Host greets you"", ""Ethernet connection"", ""Essentials"", ""Pocket wifi"", ""Carbon monoxide alarm"", ""Bed linens"", ""Hot water"", ""Free street parking"", ""Kitchen"", ""Dryer"", ""Stove"", ""Indoor fireplace"", ""Iron"", ""Wifi"", ""Washer"", ""Heating"", ""Oven""]",t,2024-06-29,2012-09-17,2024-06-21,f
7,3111534,98.7,100.0,2.2,3.0,46.19875,6.14861,2.0,1.0,1.0,1.4,122.2,1.0,1125,1.0,1.0,99,99,1.0,99.0,0,0,0,3.0,0.0,0.0,4.8,4.67,4.67,5.0,5.0,4.67,4.33,1.8,1.2,0.0,0.0,0.03,2024-06-29,previous scrape,The Hamlet - Townhouse 6,A cosy studio featuring a comfortable double bed and all the commodities. Right in the heart of Geneva Old Town - next to St. Pierre Cathedral! Come and spend a few days in Geneva like a local.,The Hamlet,2012-07-31,"Geneva, Switzerland",within an hour,f,"['email', 'phone', 'work_email']",t,f,Commune de Genève,Entire rental unit,Entire home/apt,1 bath,"[""TV with standard cable"", ""Dryer"", ""Crib"", ""Hangers"", ""Iron"", ""Pets allowed"", ""Shampoo"", ""Wifi"", ""Washer"", ""Heating"", ""Kitchen"", ""Hair dryer"", ""Air conditioning"", ""Lockbox"", ""Self check-in""]",f,2024-06-29,2016-05-18,2017-06-05,f
8,3111534,98.7,100.0,2.2,3.0,46.19871,6.14912,2.0,1.0,1.0,1.4,122.2,1.0,1125,1.0,1.0,99,99,1.0,99.0,0,0,0,0.0,0.0,0.0,4.8,4.9,4.8,4.9,4.9,4.9,4.7,1.8,1.2,0.0,0.0,0.8,2024-06-29,previous scrape,The Hamlet - Townhouse 10,A cosy studio featuring a comfortable double bed and all the commodities. Right in the heart of Geneva Old Town - next to St. Pierre Cathedral! Come and spend a few days in Geneva like a local.,The Hamlet,2012-07-31,"Geneva, Switzerland",within an hour,f,"['email', 'phone', 'work_email']",t,f,Commune de Genève,Entire rental unit,Entire home/apt,1 bath,"[""TV with standard cable"", ""Crib"", ""Dryer"", ""Wifi"", ""Washer"", ""Heating"", ""Kitchen"", ""Lockbox"", ""Self check-in""]",f,2024-06-29,2016-05-18,2017-06-05,f
9,2375758,100.0,96.0,1.0,2.0,46.20175,6.14852,2.0,1.0,1.0,1.0,105.0,2.0,21,2.0,2.0,1125,1125,2.0,1125.0,22,52,172,10.6,2.9,2.0,4.91,4.95,4.91,4.97,4.99,4.99,4.84,1.0,1.0,0.0,0.0,0.99,2024-06-29,city scrape,Artistic studio in Geneva Old Town,A cosy studio featuring a comfortable double bed and all the commodities. Right in the heart of Geneva Old Town - next to St. Pierre Cathedral! Come and spend a few days in Geneva like a local.,Eliora Elena,2012-05-15,"Geneva, Switzerland",within an hour,t,"['email', 'phone', 'work_email']",t,t,Commune de Genève,Entire rental unit,Entire home/apt,1 bath,"[""Cooking basics"", ""Hangers"", ""Refrigerator"", ""Lockbox"", ""Essentials"", ""Shampoo"", ""Elevator"", ""Wifi"", ""Hot tub"", ""Hot water"", ""Heating"", ""Kitchen"", ""Coffee maker"", ""Dishes and silverware"", ""Self check-in""]",t,2024-06-29,2012-09-30,2024-06-14,f
